SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
000219.34-105259.6 1.7620 22.033 0.281 21.199 0.058 20.677 0.045 19.986 0.039 20.045 0.153  0.000 -9.000 -25.165
000220.09-005222.9 2.2350 21.233 0.117 20.655 0.032 20.412 0.031 19.983 0.037 19.685 0.083  0.000 -9.000 -25.706
000220.76-104248.5 1.0164 19.185 0.029 18.992 0.025 18.742 0.020 18.866 0.023 18.843 0.049  0.000 -9.000 -24.971
000221.11+002149.3 3.0570 20.257 0.060 19.110 0.022 18.849 0.022 18.726 0.019 18.830 0.049 13.627 -9.000 -27.652
000221.80+151454.5 1.8235 18.970 0.025 18.852 0.013 18.810 0.017 18.518 0.020 18.403 0.038 -1.000 -9.000 -26.723
000222.47-000443.5 0.8104 18.960 0.041 18.378 0.020 18.231 0.025 18.169 0.014 17.933 0.026 14.834 -9.000 -25.113
000226.10+000549.1 1.6512 18.969 0.036 18.713 0.019 18.682 0.014 18.448 0.015 18.466 0.040  0.000 -9.000 -26.533
000230.71+004959.0 1.3527 19.075 0.037 18.683 0.020 18.123 0.026 17.963 0.013 17.988 0.024  0.000 -9.000 -26.539
000230.94-000616.5 1.3366 19.781 0.055 19.784 0.061 19.357 0.179 19.346 0.147 19.426 0.071  0.000 -9.000 -25.142
000232.32-002029.8 2.1851 20.535 0.070 20.084 0.035 19.982 0.029 20.007 0.033 19.734 0.094  0.000 -9.000 -25.624
000238.41-101149.8 3.9406 25.950 0.743 21.793 0.070 20.248 0.031 20.045 0.046 19.854 0.110  0.000 -9.000 -26.910
000240.44-004033.1 0.7061 20.813 0.110 20.373 0.030 20.256 0.035 20.498 0.047 19.994 0.115  0.000 -9.000 -22.447
000246.18+155955.8 0.3740 19.529 0.033 19.305 0.018 19.222 0.015 19.186 0.025 18.579 0.040 -1.000 -9.000 -22.245
000246.47-000615.4 1.7127 20.978 0.094 20.362 0.028 20.149 0.029 19.860 0.032 19.734 0.089  0.000 -9.000 -25.213
000248.92+005648.2 1.2936 20.639 0.085 20.574 0.035 20.157 0.030 20.078 0.039 20.300 0.170  0.000 -9.000 -24.321
000252.72-000331.0 3.6829 24.927 1.054 21.723 0.058 20.640 0.038 20.519 0.051 20.422 0.158 16.004 -9.000 -26.272
000253.21-090700.1 0.4597 19.838 0.044 19.420 0.019 19.245 0.023 19.065 0.025 18.881 0.055  0.000 -9.000 -22.851
000253.25-085530.9 0.8497 19.465 0.034 19.156 0.018 19.079 0.023 19.100 0.026 18.881 0.058  0.000 -9.000 -24.296
000257.36-090015.0 0.5166 20.210 0.058 19.620 0.020 19.416 0.024 19.135 0.026 18.897 0.058  0.000 -9.000 -23.054
000300.35+160027.6 3.6754 24.073 1.034 20.853 0.033 19.677 0.019 19.582 0.029 19.318 0.070 -1.000 -9.000 -27.228
000303.32+001019.6 1.5221 21.302 0.142 21.138 0.046 20.855 0.041 20.504 0.048 21.589 0.546  0.000 -9.000 -24.290
000303.35-105150.6 3.6467 25.821 0.908 20.490 0.038 19.312 0.024 19.251 0.023 19.000 0.061  0.000 -9.000 -27.533
000306.24-004930.4 1.0506 20.225 0.066 20.145 0.037 20.010 0.030 20.006 0.034 19.910 0.114  0.000 -9.000 -23.912
000309.80-004238.2 1.3966 19.928 0.054 19.689 0.034 19.302 0.024 19.215 0.023 19.095 0.055  0.000 -9.000 -25.377
000315.27+000221.1 1.5293 20.329 0.066 20.186 0.035 20.020 0.023 19.781 0.030 19.770 0.116  0.000 -9.000 -25.019
000316.00-095951.7 1.4284 19.701 0.045 19.696 0.021 19.467 0.022 19.262 0.028 19.326 0.079  0.000 -9.000 -25.389
000316.31-002148.8 0.5191 21.409 0.138 20.831 0.037 20.461 0.034 20.054 0.036 20.007 0.121  0.000 -9.000 -22.152
000316.38-000732.4 3.1795 21.611 0.149 20.254 0.027 20.057 0.029 20.079 0.036 19.987 0.105  0.000 -9.000 -26.392
000319.86-090156.2 1.7602 17.856 0.021 17.740 0.018 17.739 0.019 17.525 0.017 17.462 0.026  0.000 -9.000 -27.620
000322.60-002941.1 0.6510 20.185 0.059 19.875 0.025 19.742 0.029 19.614 0.025 19.626 0.077  0.000 -9.000 -23.139
000326.67+001157.1 1.8518 19.516 0.038 19.429 0.026 19.324 0.019 19.041 0.030 19.211 0.072  0.000 -9.000 -26.205
000330.19+000813.2 2.5680 19.798 0.045 19.006 0.025 18.869 0.018 18.874 0.029 18.761 0.049  0.000 -9.000 -27.114
000333.26-004443.2 0.6591 21.739 0.228 20.839 0.045 20.548 0.041 20.253 0.042 19.869 0.105  0.000 -9.000 -22.534
000334.10+152753.8 0.9007 19.619 0.032 19.228 0.016 19.044 0.018 19.082 0.021 18.891 0.044 -1.000 -9.000 -24.490
000335.20+144743.6 3.4841 24.442 0.853 21.187 0.051 20.243 0.028 20.072 0.032 19.994 0.108 -1.000 -9.000 -26.668
000338.57+000432.0 2.0928 19.830 0.046 19.756 0.027 19.755 0.023 19.690 0.035 19.378 0.080  0.000 -9.000 -25.834
000339.11+011019.6 1.6970 20.766 0.082 20.305 0.033 20.151 0.029 19.704 0.031 19.890 0.099  0.000 -9.000 -25.344
000341.21-094101.0 1.7391 20.205 0.065 19.984 0.029 19.955 0.024 19.755 0.031 19.602 0.110  0.000 -9.000 -25.350
000342.08+153628.7 1.5682 19.646 0.032 19.374 0.022 19.235 0.020 18.990 0.018 18.895 0.045 -1.000 -9.000 -25.912
000345.23-110818.5 1.5698 20.162 0.055 19.972 0.034 19.624 0.026 19.362 0.024 19.433 0.078  0.000 -1.735 -25.512
000347.20+005344.7 0.5785 20.692 0.089 20.423 0.042 20.478 0.037 20.031 0.041 19.585 0.089  0.000 -9.000 -22.431
000348.46-004355.3 0.8981 20.453 0.078 20.201 0.038 20.000 0.032 20.068 0.038 19.775 0.096  0.000 -9.000 -23.467
000355.49+000736.4 1.0274 19.916 0.049 19.813 0.028 19.564 0.021 19.555 0.034 19.728 0.105  0.000 -9.000 -24.292
000356.56-010131.6 0.9103 20.105 0.046 19.889 0.029 19.706 0.025 19.743 0.030 19.423 0.069  0.000 -9.000 -23.821
000403.80-004117.2 1.9404 20.799 0.105 20.669 0.046 20.576 0.039 20.471 0.048 20.165 0.132  0.000 -9.000 -24.889
000405.39-004809.9 1.0845 21.868 0.253 21.613 0.071 21.017 0.054 20.853 0.064 20.368 0.158 15.786 -9.000 -23.139
000405.44+141951.9 0.7917 19.757 0.041 19.407 0.018 19.189 0.015 19.139 0.018 18.962 0.048 -1.000 -9.000 -24.272
000406.37-103815.2 1.2686 19.236 0.042 19.165 0.019 19.014 0.025 19.012 0.018 19.085 0.056  0.000 -9.000 -25.361
000410.80-104527.1 0.2397 18.131 0.025 17.944 0.020 17.680 0.027 17.533 0.013 17.431 0.021  0.000 -1.352 -22.827
000413.56-004617.2 1.2841 20.106 0.060 19.766 0.038 19.513 0.023 19.461 0.028 19.332 0.070  0.000 -9.000 -24.934
000413.64-085529.6 2.4237 18.843 0.042 18.223 0.017 18.142 0.017 18.078 0.016 17.854 0.028  0.000 -9.000 -27.790
000416.46-005300.6 2.0201 19.660 0.033 19.583 0.030 19.643 0.023 19.435 0.027 19.296 0.057  0.000 -9.000 -26.023
000417.04+160554.0 0.4762 20.447 0.060 19.979 0.024 19.586 0.018 19.182 0.020 18.947 0.049 -1.000 -9.000 -22.828
