SDSS z u_mag sig_u_mag g_mag sig_g_mag r_mag sig_r_mag i_mag sig_i_mag z_mag sig_z_mag FIRST ROSAT Mp
205156.49-001404.7 0.7152 19.753 0.037 19.359 0.014 19.225 0.013 19.150 0.018 18.974 0.042 -1.000 -9.000 -24.038
205157.18+002535.8 1.9078 21.095 0.088 20.860 0.028 20.558 0.029 20.090 0.030 19.925 0.085 -1.000 -9.000 -25.383
205201.12-010126.7 0.7259 20.478 0.054 19.656 0.019 19.348 0.014 19.226 0.020 18.823 0.042 -1.000 -9.000 -23.927
205201.56-060005.7 1.2740 19.418 0.031 19.347 0.014 19.093 0.014 19.110 0.019 19.184 0.064 -1.000 -9.000 -25.346
205201.61+000051.5 0.5349 19.247 0.030 18.814 0.012 18.628 0.011 18.422 0.015 18.414 0.034 -1.000 -9.000 -24.019
205204.05+004650.4 1.0855 20.864 0.086 20.606 0.023 20.190 0.023 20.129 0.035 19.863 0.086 -1.000 -9.000 -24.054
205205.63-060236.2 2.0657 19.555 0.033 19.426 0.014 19.302 0.015 19.191 0.019 18.999 0.055 -1.000 -9.000 -26.391
205210.69-011504.8 0.4467 21.176 0.094 20.538 0.031 20.004 0.023 19.746 0.024 19.467 0.064 -1.000 -9.000 -22.206
205211.05-000557.3 0.6812 20.155 0.043 19.585 0.014 19.531 0.015 19.441 0.019 19.421 0.061 -1.000 -9.000 -23.601
205212.28-002645.2 0.2674 19.823 0.037 19.260 0.021 18.653 0.011 18.376 0.010 17.928 0.023 -1.000 -9.000 -22.416
205212.82+001137.4 0.6869 20.197 0.052 19.752 0.016 19.510 0.015 19.245 0.019 19.076 0.055 -1.000 -9.000 -23.796
205214.14-051558.0 3.2749 21.690 0.163 19.670 0.015 19.473 0.018 19.383 0.022 19.178 0.067 -1.000 -9.000 -27.215
205215.38+001307.8 1.8462 21.002 0.082 20.589 0.023 19.880 0.018 19.379 0.019 19.282 0.064 -1.000 -9.000 -26.022
205229.36-051130.9 1.6863 19.856 0.042 19.479 0.014 19.360 0.017 19.039 0.019 18.905 0.053 -1.000 -9.000 -26.062
205232.32-065115.6 1.5059 18.683 0.025 18.394 0.018 18.211 0.016 18.007 0.012 18.021 0.024 -1.000 -9.000 -26.838
205242.24+003408.6 2.5989 21.285 0.102 20.492 0.023 20.220 0.024 20.145 0.032 19.892 0.081 -1.000 -9.000 -26.014
205245.26-052346.6 0.7856 18.866 0.023 18.521 0.011 18.358 0.010 18.324 0.011 18.249 0.028 -1.000 -9.000 -24.957
205251.28-052610.8 1.3140 20.493 0.059 20.020 0.019 19.374 0.015 19.190 0.017 19.040 0.048 -1.000 -9.000 -25.331
205251.58-001538.9 0.7315 20.040 0.045 19.421 0.016 19.271 0.014 19.292 0.028 19.251 0.052 -1.000 -9.000 -23.921
205253.59-010905.1 0.5905 21.008 0.087 20.539 0.029 20.465 0.028 20.104 0.030 19.800 0.089 -1.000 -9.000 -22.543
205254.60+000050.4 1.0861 20.188 0.052 19.935 0.027 19.200 0.014 19.113 0.018 18.919 0.048 -1.000 -9.000 -25.017
205255.76-005322.1 1.5624 20.524 0.053 20.297 0.025 20.135 0.027 19.879 0.026 19.998 0.105 -1.000 -9.000 -25.104
205256.09-001309.1 1.4090 20.719 0.070 20.701 0.028 20.393 0.026 20.197 0.036 20.174 0.110 -1.000 -9.000 -24.581
205302.18-010719.8 1.8355 20.615 0.080 20.589 0.030 20.642 0.030 20.250 0.032 20.276 0.132 -1.000 -9.000 -25.121
205302.36-065223.7 0.7221 22.624 0.415 21.496 0.053 20.756 0.038 19.834 0.026 19.535 0.075 -1.000 -9.000 -23.269
205302.85-010225.7 3.2506 23.970 0.778 21.120 0.041 20.512 0.034 20.364 0.039 20.527 0.176 -1.000 -9.000 -26.289
205303.06-003612.7 1.2491 18.465 0.020 18.221 0.017 17.873 0.010 17.715 0.009 17.573 0.019 -1.000 -9.000 -26.721
205303.47-010415.0 2.0095 18.919 0.025 18.843 0.015 18.615 0.011 18.354 0.014 18.109 0.028 -1.000 -9.000 -27.224
205303.72-010442.8 3.1155 23.675 0.770 20.531 0.029 20.221 0.023 20.228 0.032 20.399 0.145 -1.000 -9.000 -26.336
205304.96-070708.1 0.5512 19.783 0.041 19.377 0.018 19.293 0.016 19.093 0.019 18.984 0.046 -1.000 -9.000 -23.329
205306.28-003530.0 1.0471 20.799 0.076 20.563 0.027 20.132 0.023 20.135 0.028 19.917 0.093 -1.000 -9.000 -23.878
205310.07+002833.0 2.4790 20.824 0.073 20.367 0.022 20.277 0.024 20.288 0.034 20.019 0.092 -1.000 -9.000 -25.745
205310.57-010400.9 1.7758 20.018 0.044 19.871 0.020 19.860 0.018 19.596 0.022 19.637 0.076 -1.000 -9.000 -25.697
205312.83+001138.8 1.7440 19.495 0.034 19.362 0.015 19.294 0.016 18.967 0.015 18.971 0.049 -1.000 -9.000 -26.286
205316.38-000907.5 1.9506 20.165 0.043 19.887 0.018 19.623 0.017 19.436 0.021 19.325 0.057 -1.000 -9.000 -26.072
205316.76+005920.9 4.2987 24.561 1.190 21.802 0.060 19.716 0.017 19.361 0.021 19.155 0.055 -1.000 -9.000 -27.875
205319.51+001103.3 1.3785 20.387 0.060 20.242 0.021 19.968 0.021 19.825 0.023 19.792 0.096 -1.000 -9.000 -24.874
205322.51+011203.5 2.0742 20.383 0.052 20.248 0.022 19.872 0.022 19.469 0.022 19.034 0.050 -1.000 -9.000 -26.166
205322.72-005419.0 1.2484 19.654 0.030 19.430 0.018 19.113 0.020 19.095 0.015 19.189 0.054 -1.000 -9.000 -25.358
205330.26-053244.1 1.5033 19.624 0.032 19.476 0.016 19.278 0.017 19.016 0.017 19.051 0.048 -1.000 -9.000 -25.817
205330.31+005606.3 1.0594 19.906 0.045 19.741 0.018 19.429 0.015 19.441 0.022 19.387 0.064 -1.000 -9.000 -24.595
205332.66-071300.3 0.8091 19.828 0.043 19.356 0.021 19.273 0.017 19.319 0.021 19.150 0.052 -1.000 -9.000 -24.017
205333.01-010058.4 2.2112 20.260 0.045 19.592 0.018 19.532 0.016 19.456 0.022 19.155 0.055 -1.000 -9.000 -26.344
205343.56+005344.3 0.6881 20.978 0.092 20.502 0.025 20.342 0.026 20.178 0.037 19.940 0.094 -1.000 -9.000 -22.808
205343.85+003142.2 2.0265 20.113 0.048 20.111 0.019 20.125 0.021 19.874 0.026 19.642 0.066 -1.000 -9.000 -25.686
205345.91-071237.6 1.1157 19.087 0.031 19.054 0.020 18.877 0.015 18.968 0.017 19.048 0.047 -1.000 -9.000 -25.144
205347.93+005952.5 2.1436 20.777 0.079 20.167 0.021 19.831 0.019 19.706 0.028 19.480 0.067 -1.000 -9.000 -25.985
205351.60+002137.4 1.1777 20.731 0.067 20.548 0.023 20.115 0.023 20.062 0.029 20.396 0.161 -1.000 -9.000 -24.250
205352.03-001601.5 0.3626 19.696 0.036 19.277 0.017 18.975 0.014 18.934 0.020 18.250 0.028 -1.000 -9.000 -22.546
205354.42-005408.1 3.9236 23.560 0.607 21.785 0.070 20.399 0.027 20.230 0.035 19.986 0.105 -1.000 -9.000 -26.847
205354.75+010758.6 0.9995 19.689 0.034 19.578 0.015 19.272 0.014 19.274 0.019 19.103 0.051 -1.000 -9.000 -24.623
205355.30+001946.2 1.5650 21.682 0.139 21.069 0.031 20.461 0.028 20.165 0.031 20.013 0.115 -1.000 -9.000 -24.820
205357.22-011522.7 1.8655 20.910 0.083 20.659 0.031 20.648 0.031 20.293 0.036 20.201 0.127 -1.000 -9.000 -25.158
205357.43+005332.1 2.2585 20.630 0.070 19.964 0.019 19.693 0.017 19.517 0.025 19.163 0.050 -1.000 -9.000 -26.293
205358.03-000407.7 1.8441 19.979 0.037 19.864 0.016 19.809 0.019 19.592 0.020 19.632 0.072 -1.000 -9.000 -25.779
205401.64+005755.9 2.8839 22.521 0.332 20.461 0.025 20.285 0.025 19.986 0.033 19.593 0.072 -1.000 -9.000 -26.369
205407.92+005400.9 1.6466 20.346 0.057 19.993 0.020 19.958 0.020 19.651 0.027 19.764 0.080 -1.000 -9.000 -25.434
205408.26-005003.5 0.6096 21.461 0.147 20.528 0.026 20.464 0.028 19.858 0.021 19.701 0.075 -1.000 -9.000 -22.861
205411.23-000235.3 1.4260 20.166 0.042 20.086 0.018 19.932 0.019 19.853 0.026 20.014 0.100 -1.000 -9.000 -24.917
205412.45-072808.5 1.6351 19.934 0.042 19.643 0.021 19.483 0.019 19.309 0.022 19.342 0.074 -1.000 -9.000 -25.715
205417.02-001135.6 1.0913 20.648 0.058 20.593 0.023 20.185 0.023 20.233 0.033 20.218 0.120 -1.000 -9.000 -23.914
205418.80+004915.9 0.2275 18.411 0.017 18.283 0.010 18.061 0.008 17.715 0.011 17.774 0.021 -1.000 -9.000 -22.627
205424.78-054704.1 1.6561 19.904 0.037 19.614 0.015 19.451 0.014 19.172 0.022 19.146 0.056 -1.000 -9.000 -25.883
205425.69-002117.3 1.5101 20.582 0.062 20.366 0.022 20.191 0.023 19.898 0.025 19.869 0.085 -1.000 -9.000 -25.009
205426.18-003301.6 0.3091 19.204 0.028 19.031 0.016 18.613 0.013 18.649 0.014 18.222 0.028 -1.000 -9.000 -22.450
205427.05-072343.0 0.4944 20.303 0.055 19.744 0.022 19.623 0.017 19.298 0.019 19.171 0.061 -1.000 -1.723 -22.837
205428.56-004106.4 1.7265 20.910 0.097 20.551 0.028 20.488 0.028 20.172 0.028 20.116 0.103 -1.000 -9.000 -25.043
205429.05-011013.2 2.5484 19.804 0.038 19.138 0.018 19.012 0.013 18.931 0.021 18.721 0.038 -1.000 -9.000 -27.244
205433.03+000602.0 0.6844 19.688 0.041 19.142 0.014 19.093 0.012 19.095 0.015 18.898 0.046 -1.000 -9.000 -23.890
205434.64-010950.4 1.4948 20.663 0.067 20.359 0.027 20.031 0.021 19.746 0.028 19.687 0.078 -1.000 -9.000 -25.203
205436.36-064202.7 2.1917 19.277 0.029 18.789 0.012 18.599 0.012 18.539 0.015 18.344 0.032 -1.000 -9.000 -27.152
205436.44+004349.5 1.0999 20.235 0.042 19.957 0.016 19.492 0.014 19.585 0.022 19.666 0.068 -1.000 -9.000 -24.548
205443.04+000728.4 1.2257 19.296 0.035 19.274 0.014 19.006 0.012 18.938 0.014 19.107 0.054 -1.000 -9.000 -25.450
205443.56+004704.1 0.9482 20.942 0.069 20.556 0.023 20.043 0.021 19.808 0.026 19.619 0.069 -1.000 -9.000 -23.963
205444.41+005837.1 1.1459 20.624 0.070 20.290 0.023 19.625 0.016 19.347 0.023 19.223 0.055 -1.000 -9.000 -24.881
205445.62-011049.0 2.0047 20.029 0.043 19.793 0.022 19.562 0.016 19.358 0.021 19.110 0.049 -1.000 -9.000 -26.278
205447.85+011316.8 1.3188 21.493 0.123 21.081 0.032 20.355 0.028 20.262 0.041 20.275 0.141 -1.000 -9.000 -24.308
205449.99-010718.6 1.4613 19.132 0.026 18.993 0.018 18.708 0.012 18.588 0.017 18.559 0.033 -1.000 -9.000 -26.294
205455.17-052511.5 0.8272 22.533 0.320 20.468 0.023 19.696 0.018 19.333 0.022 18.875 0.052 -1.000 -9.000 -24.048
205458.14-003852.3 2.1421 20.651 0.080 20.263 0.026 20.135 0.021 19.985 0.026 19.722 0.073 -1.000 -9.000 -25.753
205506.91-005526.2 2.0382 21.068 0.076 20.594 0.028 20.154 0.025 19.870 0.030 19.644 0.081 -1.000 -9.000 -25.743
205508.09+000656.6 2.4450 20.525 0.066 20.129 0.020 19.736 0.016 19.711 0.023 19.425 0.072 -1.000 -9.000 -26.273
205509.20+005245.7 1.5031 19.847 0.042 19.524 0.017 19.369 0.015 19.099 0.021 19.098 0.050 -1.000 -9.000 -25.769
205509.48-071748.6 4.0061 23.932 1.004 21.509 0.070 19.916 0.022 19.717 0.027 19.515 0.069 -1.000 -9.000 -27.303
205510.31-003008.1 1.2764 20.326 0.054 20.482 0.024 20.032 0.023 19.885 0.024 19.754 0.080 -1.000 -9.000 -24.649
205516.84-051111.0 3.0053 20.369 0.060 18.642 0.011 18.393 0.012 18.218 0.013 18.000 0.027 -1.000 -9.000 -28.212
205517.65-003836.7 3.4598 26.075 0.943 21.350 0.046 20.568 0.029 20.292 0.032 20.143 0.104 -1.000 -9.000 -26.519
205518.60-005635.0 0.9237 20.417 0.050 20.384 0.025 20.113 0.021 20.083 0.032 20.178 0.125 -1.000 -9.000 -23.657
205520.36+003719.9 1.3602 20.420 0.061 20.424 0.023 20.087 0.022 19.924 0.028 20.095 0.100 -1.000 -9.000 -24.711
205520.37+010338.9 0.4836 20.654 0.063 20.337 0.024 19.912 0.019 19.464 0.021 19.063 0.047 -1.000 -9.000 -22.687
205521.73+002423.2 0.6705 20.893 0.078 20.478 0.033 20.372 0.030 20.203 0.035 20.063 0.123 -1.000 -9.000 -22.715
205523.11-063436.2 0.4164 19.829 0.038 19.120 0.012 18.813 0.013 18.505 0.017 18.145 0.030 -1.000 -1.748 -23.222
205523.97-054520.1 0.5998 19.454 0.030 18.889 0.014 18.950 0.014 18.702 0.019 18.751 0.045 -1.000 -9.000 -23.902
205524.69-000130.3 1.0848 20.590 0.057 20.572 0.024 20.178 0.023 20.082 0.027 20.101 0.106 -1.000 -9.000 -24.021
205525.57+002139.9 0.4404 20.703 0.066 20.240 0.019 19.835 0.019 19.556 0.020 19.279 0.062 -1.000 -9.000 -22.343
205531.91+010706.9 0.4151 21.014 0.083 20.491 0.023 20.070 0.022 19.721 0.026 19.335 0.061 -1.000 -9.000 -22.058
205532.69-010733.3 1.7317 20.928 0.079 20.565 0.030 20.163 0.024 19.581 0.023 19.670 0.077 -1.000 -9.000 -25.676
205533.19-004428.6 1.4836 20.919 0.094 20.768 0.031 20.593 0.031 20.240 0.034 20.148 0.108 -1.000 -9.000 -24.654
205538.48-010202.7 2.2117 20.060 0.040 19.629 0.018 19.416 0.014 19.363 0.022 19.122 0.059 -1.000 -9.000 -26.438
205542.26-010132.7 0.8470 19.747 0.033 19.371 0.017 19.227 0.013 19.113 0.020 18.976 0.047 -1.000 -9.000 -24.417
205544.79-050728.5 1.3078 19.782 0.041 19.672 0.016 19.347 0.016 19.342 0.021 19.454 0.071 -1.000 -9.000 -25.198
205546.36+010709.5 1.6510 20.765 0.069 20.117 0.017 19.954 0.020 19.746 0.026 19.721 0.082 -1.000 -9.000 -25.360
205546.82+010434.4 0.6884 19.866 0.038 19.352 0.012 19.308 0.014 19.037 0.016 18.816 0.039 -1.000 -9.000 -23.966
205549.86-002332.6 1.2071 20.887 0.077 20.671 0.027 20.225 0.023 20.102 0.033 20.334 0.131 -1.000 -9.000 -24.261
205550.29-001844.8 1.6465 19.978 0.043 19.514 0.017 19.393 0.016 19.198 0.023 19.199 0.050 -1.000 -9.000 -25.894
205550.29+005021.0 0.4340 21.771 0.169 21.349 0.042 20.428 0.028 19.764 0.026 19.470 0.061 -1.000 -9.000 -22.105
205550.46-055740.4 2.1533 19.765 0.039 19.475 0.015 19.351 0.014 19.194 0.016 18.997 0.052 -1.000 -9.000 -26.454
205551.11-004814.1 3.2711 24.041 1.066 20.850 0.033 20.069 0.022 19.870 0.023 19.648 0.072 -1.000 -9.000 -26.796
205551.26+010815.7 1.0524 20.238 0.048 20.020 0.017 19.656 0.017 19.631 0.025 19.503 0.067 -1.000 -9.000 -24.408
205554.08+004311.4 1.6180 19.140 0.024 18.978 0.013 18.844 0.013 18.620 0.012 18.487 0.032 -1.000 -9.000 -26.426
205555.31-052921.4 1.7599 19.364 0.029 19.099 0.015 19.081 0.016 18.874 0.017 18.822 0.039 -1.000 -9.000 -26.309
205555.60+002523.7 1.1106 20.575 0.064 20.527 0.024 20.244 0.024 20.117 0.030 20.043 0.092 -1.000 -9.000 -24.018
205557.32-003719.9 1.3358 19.576 0.035 19.360 0.019 19.117 0.020 18.864 0.016 18.813 0.037 -1.000 -9.000 -25.761
205558.55-005358.2 0.9039 19.778 0.032 19.509 0.018 19.404 0.015 19.675 0.023 19.537 0.068 -1.000 -9.000 -23.995
205558.72+003515.1 1.9487 20.422 0.055 20.407 0.023 20.391 0.028 20.105 0.034 19.950 0.086 -1.000 -9.000 -25.373
205601.38-062049.8 0.4149 19.976 0.042 19.689 0.018 19.444 0.015 19.208 0.017 19.021 0.046 -1.000 -9.000 -22.498
205601.68-001613.3 0.5206 18.583 0.024 18.078 0.011 18.241 0.012 18.004 0.015 18.057 0.026 -1.000 -9.000 -24.317
205608.47+002928.1 0.4810 17.532 0.024 17.311 0.012 17.458 0.011 17.371 0.015 17.333 0.018 -1.000 -1.371 -24.736
205609.31+010026.4 1.6832 21.328 0.119 20.971 0.033 20.532 0.033 20.201 0.037 19.853 0.091 -1.000 -9.000 -24.931
205609.89+010222.1 0.6451 20.642 0.070 19.928 0.020 19.723 0.022 19.645 0.026 19.621 0.076 -1.000 -9.000 -23.189
205623.36+003544.0 0.6925 20.596 0.064 19.905 0.018 19.691 0.019 19.360 0.022 19.219 0.047 -1.000 -9.000 -23.637
205626.04-053150.1 0.1962 19.003 0.025 18.754 0.012 18.171 0.012 17.772 0.009 17.537 0.018 -1.000 -9.000 -22.149
205629.45+004844.7 1.6151 19.988 0.036 19.679 0.015 19.546 0.015 19.240 0.018 19.340 0.054 -1.000 -9.000 -25.795
205631.22+001527.6 0.5775 19.874 0.039 19.384 0.014 19.312 0.013 19.046 0.015 19.116 0.054 -1.000 -9.000 -23.506
205632.18-004931.9 0.8257 20.499 0.068 20.225 0.023 20.152 0.024 20.245 0.030 19.905 0.088 -1.000 -9.000 -23.186
205632.34+011420.8 1.1841 20.400 0.053 20.351 0.021 20.052 0.021 20.024 0.034 20.168 0.128 -1.000 -9.000 -24.291
205637.12-001049.4 1.8648 20.717 0.062 20.551 0.022 20.576 0.027 20.285 0.034 20.288 0.123 -1.000 -9.000 -25.113
205644.53-005904.2 2.4600 24.525 0.906 22.490 0.125 20.726 0.033 20.556 0.102 19.235 0.056 -1.000 -9.000 -25.441
205647.79+003208.7 1.6673 19.992 0.041 19.673 0.019 19.500 0.016 19.178 0.020 19.134 0.044 -1.000 -9.000 -25.920
205650.77+010253.2 0.8060 20.840 0.080 20.418 0.025 20.236 0.026 20.026 0.032 20.011 0.106 -1.000 -9.000 -23.353
205653.79-000954.3 0.5735 21.382 0.100 20.891 0.028 20.852 0.044 20.289 0.043 20.158 0.113 -1.000 -9.000 -22.291
205656.05+003835.8 2.0426 19.976 0.036 19.981 0.017 19.841 0.018 19.703 0.023 19.439 0.057 -1.000 -9.000 -25.864
205658.46-000040.3 1.0933 20.648 0.058 20.381 0.020 19.987 0.020 19.900 0.028 19.809 0.083 -1.000 -9.000 -24.239
205659.14+004907.7 2.4989 20.183 0.040 19.431 0.013 19.039 0.012 18.790 0.014 18.407 0.027 -1.000 -9.000 -27.240
205659.48-071123.1 2.0770 19.064 0.029 18.921 0.019 18.641 0.014 18.384 0.014 18.121 0.027  0.000 -9.000 -27.198
205701.26-003654.1 1.0510 20.520 0.060 20.354 0.022 20.160 0.022 20.081 0.027 20.049 0.102 -1.000 -9.000 -23.968
205704.30-000527.1 1.8822 19.937 0.036 19.850 0.016 19.757 0.016 19.461 0.019 19.325 0.055 -1.000 -9.000 -25.961
205706.58+010030.5 0.8604 18.247 0.022 17.890 0.014 17.663 0.010 17.673 0.010 17.490 0.020 -1.000 -9.000 -25.860
205707.18+002004.8 1.0058 19.733 0.035 19.540 0.015 19.258 0.013 19.322 0.018 19.509 0.075 -1.000 -9.000 -24.573
205710.62-062744.8 1.7373 19.746 0.039 19.532 0.016 19.465 0.016 19.190 0.017 19.101 0.052  0.000 -9.000 -25.943
205712.01-010001.7 1.1124 19.851 0.034 19.776 0.021 19.533 0.016 19.525 0.021 19.640 0.079 -1.000 -9.000 -24.622
205713.28+002031.0 2.0350 20.393 0.052 19.921 0.017 19.655 0.016 19.381 0.018 19.073 0.053 -1.000 -9.000 -26.179
205713.29-003942.3 0.6511 19.566 0.037 19.107 0.015 19.131 0.017 19.086 0.018 18.989 0.043 -1.000 -9.000 -23.788
205714.11-001440.3 1.6143 20.333 0.052 20.040 0.019 19.914 0.021 19.602 0.025 19.611 0.067 -1.000 -9.000 -25.457
205716.13+000310.9 1.3622 19.241 0.030 19.107 0.015 18.864 0.013 18.796 0.018 18.842 0.044 -1.000 -9.000 -25.862
205721.71-010812.8 2.4345 20.784 0.069 20.210 0.024 19.836 0.018 19.619 0.022 19.491 0.067 -1.000 -9.000 -26.382
205724.14-003018.7 4.6626 24.232 0.966 21.920 0.064 20.112 0.021 18.712 0.014 18.680 0.034 -1.000 -9.000 -28.762
205728.09-010644.5 1.4360 20.457 0.057 20.516 0.029 20.085 0.021 19.957 0.025 19.875 0.092 -1.000 -9.000 -24.823
205731.65-000623.7 1.4770 20.637 0.056 20.445 0.022 20.239 0.022 20.067 0.028 20.052 0.102 -1.000 -9.000 -24.766
205738.06+001005.8 1.9182 19.320 0.031 19.061 0.015 19.026 0.014 18.874 0.019 18.644 0.038 -1.000 -9.000 -26.566
205739.60-005856.4 1.5114 20.984 0.074 20.539 0.029 20.434 0.033 20.222 0.039 20.633 0.187 -1.000 -9.000 -24.663
205741.90+004710.8 0.4746 20.975 0.068 20.213 0.019 19.904 0.019 19.391 0.020 19.193 0.048 -1.000 -9.000 -22.669
205744.34-005610.4 1.0053 20.467 0.051 20.233 0.024 19.925 0.020 19.853 0.026 19.852 0.093 -1.000 -9.000 -24.062
205745.53+004652.0 1.2984 19.814 0.031 19.992 0.017 19.452 0.015 19.381 0.019 19.276 0.051 -1.000 -9.000 -25.116
205745.88-005052.2 1.8314 20.558 0.052 20.465 0.027 20.421 0.028 20.157 0.032 20.152 0.116 -1.000 -9.000 -25.179
205751.89-072814.0 0.7111 19.715 0.033 19.448 0.019 19.311 0.015 19.279 0.021 19.208 0.059 -1.000 -9.000 -23.759
205752.47+000635.2 1.1319 18.995 0.026 18.839 0.013 18.562 0.012 18.596 0.017 18.639 0.038 -1.000 -9.000 -25.607
205754.81-001917.0 1.6630 20.342 0.053 20.147 0.021 20.034 0.021 19.732 0.027 19.514 0.064 -1.000 -9.000 -25.453
205807.84-072914.4 1.3686 19.312 0.029 19.299 0.018 18.858 0.012 18.852 0.019 18.959 0.048 -1.000 -9.000 -25.781
205814.28-005533.8 2.1182 20.411 0.059 20.290 0.026 20.064 0.021 19.973 0.027 19.848 0.091 -1.000 -9.000 -25.698
205815.68+005808.0 1.1438 20.366 0.059 20.209 0.022 19.919 0.020 20.010 0.032 20.019 0.104 -1.000 -9.000 -24.186
205818.96-072841.0 1.7977 18.775 0.023 18.712 0.017 18.550 0.011 18.176 0.016 18.107 0.026 -1.000 -9.000 -27.097
205820.73+001331.8 1.2177 20.617 0.061 20.155 0.018 19.769 0.017 19.667 0.021 19.661 0.087 -1.000 -9.000 -24.702
205821.27+000731.8 3.1253 21.802 0.170 20.064 0.019 19.817 0.018 19.722 0.025 19.668 0.086 -1.000 -9.000 -26.812
205824.23+001606.7 0.7677 20.307 0.049 19.991 0.017 20.087 0.021 20.103 0.029 19.972 0.112 -1.000 -9.000 -23.152
205827.74-073535.3 0.6837 19.694 0.036 19.305 0.018 19.110 0.014 19.072 0.021 18.972 0.050 -1.000 -9.000 -23.897
205844.68-052417.6 2.2308 19.851 0.041 19.288 0.015 19.117 0.015 19.047 0.020 18.872 0.052  0.000 -9.000 -26.664
205846.26-000919.8 0.8244 20.284 0.045 19.961 0.017 19.846 0.018 19.848 0.024 19.732 0.082 -1.000 -9.000 -23.587
205847.74+000344.8 1.2697 20.496 0.062 20.250 0.021 19.887 0.019 19.884 0.027 19.853 0.100 -1.000 -9.000 -24.582
205849.59+000535.0 1.2781 20.564 0.065 20.320 0.022 19.994 0.020 19.972 0.028 19.900 0.104 -1.000 -9.000 -24.501
205858.36+011448.7 1.2033 19.393 0.030 19.104 0.013 18.768 0.012 18.722 0.015 18.836 0.044 -1.000 -9.000 -25.621
205859.67+003532.9 1.4147 21.778 0.150 21.323 0.041 20.510 0.030 20.200 0.034 20.091 0.097 -1.000 -9.000 -24.503
205900.34-000544.7 1.8790 20.009 0.038 19.733 0.015 19.528 0.015 19.240 0.018 19.216 0.053 -1.000 -9.000 -26.160
205900.36-064309.5 2.2808 18.685 0.021 18.203 0.013 17.853 0.014 17.701 0.013 17.512 0.019  0.000 -9.000 -28.084
205906.98-005750.3 0.4921 20.956 0.075 20.582 0.031 20.517 0.029 19.826 0.026 19.883 0.095 -1.000 -9.000 -22.343
205908.31+002852.9 2.1326 19.985 0.041 19.540 0.015 19.330 0.015 19.327 0.020 19.298 0.051 -1.000 -9.000 -26.340
205911.81+001654.0 1.9269 20.467 0.054 20.353 0.020 20.260 0.023 20.015 0.027 19.937 0.111 -1.000 -9.000 -25.432
205912.20+003037.9 2.1707 20.805 0.071 20.447 0.023 20.376 0.027 20.238 0.035 19.818 0.096 -1.000 -9.000 -25.470
205912.82-060525.6 0.6993 19.477 0.034 19.056 0.014 19.013 0.013 19.073 0.016 18.916 0.051  0.000 -9.000 -23.880
205918.76+003017.3 1.8594 20.159 0.045 19.997 0.019 19.880 0.019 19.693 0.024 19.640 0.067 -1.000 -9.000 -25.665
205922.42-052842.7 2.5392 19.852 0.042 19.277 0.015 19.110 0.016 19.040 0.020 18.856 0.049 -1.000 -9.000 -26.958
205922.94-005916.2 0.9032 20.701 0.063 20.356 0.028 20.220 0.033 20.209 0.034 20.155 0.121 -1.000 -9.000 -23.438
205924.50-003927.2 1.5511 21.005 0.102 20.370 0.025 19.855 0.018 19.509 0.019 19.601 0.069 -1.000 -9.000 -25.412
205927.15-063711.5 1.8488 19.598 0.036 19.277 0.016 18.967 0.013 18.577 0.014 18.433 0.034  0.000 -9.000 -26.728
205929.17+011334.5 0.8825 20.592 0.062 20.333 0.021 20.221 0.025 20.113 0.036 19.915 0.106 -1.000 -9.000 -23.469
205929.97-000232.4 1.9282 20.342 0.047 20.190 0.019 20.146 0.022 19.751 0.025 19.658 0.075 -1.000 -9.000 -25.705
205932.47+000342.9 1.7701 20.034 0.045 19.941 0.018 19.955 0.020 19.691 0.023 19.806 0.097 -1.000 -9.000 -25.551
205934.54+010706.5 0.3297 19.603 0.034 19.509 0.015 19.288 0.014 19.127 0.018 18.656 0.037 -1.000 -9.000 -22.062
205935.48+004654.6 1.1624 21.205 0.083 20.626 0.024 20.055 0.021 19.877 0.027 19.581 0.067 -1.000 -9.000 -24.364
205941.15+005522.6 1.6237 18.811 0.030 18.615 0.011 18.495 0.010 18.263 0.011 18.197 0.027 -1.000 -9.000 -26.772
205946.60+002030.6 1.5781 19.160 0.027 18.887 0.012 18.729 0.011 18.432 0.012 18.462 0.034 -1.000 -1.788 -26.541
205954.50-001917.3 2.1072 18.714 0.022 18.563 0.015 18.347 0.015 18.260 0.017 18.039 0.027 -1.000 -9.000 -27.383
210001.24-071136.3 0.5997 15.725 0.018 15.324 0.015 15.266 0.009 15.152 0.011 15.269 0.013  0.000 -1.121 -27.487
210002.19-003728.9 2.0661 20.152 0.049 19.888 0.017 19.775 0.018 19.680 0.021 19.502 0.064 -1.000 -9.000 -25.914
210006.32+000337.4 0.8063 19.786 0.039 19.442 0.016 19.214 0.014 19.210 0.019 19.078 0.054 -1.000 -9.000 -24.144
210011.94-064621.9 1.5552 19.153 0.030 18.831 0.012 18.662 0.012 18.401 0.018 18.414 0.034  0.000 -1.864 -26.511
210012.82-004446.2 2.1946 19.156 0.029 18.749 0.016 18.558 0.012 18.524 0.014 18.319 0.028 -1.000 -9.000 -27.197
210014.19-061218.4 0.9900 19.900 0.042 19.391 0.014 19.120 0.014 19.159 0.017 19.029 0.058  0.000 -9.000 -24.644
210015.47-064024.7 1.2713 19.246 0.028 19.285 0.015 18.931 0.013 18.953 0.017 19.105 0.051  0.000 -9.000 -25.480
